"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"1",0,1,2,3,4,5,6,2,1,2,3,4,5,6,7,8,4,3,4,3,4,5,6,7,8,9,10,5,6,5,6,5,6,7,8,9,10,11,7,8,7,8,7,8,9,10,11,9,10,9,10,9,10,11
"2",1,0,1,2,3,4,5,3,2,3,2,3,4,5,6,7,5,4,5,4,5,4,5,6,7,8,9,6,7,6,7,6,7,6,7,8,9,10,8,9,8,9,8,9,8,9,10,10,11,10,11,10,11,10
"3",2,1,0,1,2,3,4,4,3,2,1,2,3,4,5,6,6,5,4,3,4,3,4,5,6,7,8,7,6,5,6,5,6,5,6,7,8,9,7,8,7,8,7,8,7,8,9,9,10,9,10,9,10,9
"4",3,2,1,0,1,2,3,5,4,3,2,3,2,3,4,5,7,6,5,4,5,4,5,4,5,6,7,8,7,6,7,6,7,6,7,6,7,8,8,9,8,9,8,9,8,9,8,10,11,10,11,10,11,10
"5",4,3,2,1,0,1,2,6,5,4,3,2,1,2,3,4,8,7,6,5,4,3,4,3,4,5,6,9,8,7,6,5,6,5,6,5,6,7,9,8,7,8,7,8,7,8,7,9,10,9,10,9,10,9
"6",5,4,3,2,1,0,1,7,6,5,4,3,2,3,2,3,9,8,7,6,5,4,5,4,5,4,5,10,9,8,7,6,7,6,7,6,7,6,10,9,8,9,8,9,8,9,8,10,11,10,11,10,11,10
"7",6,5,4,3,2,1,0,8,7,6,5,4,3,2,1,2,10,9,8,7,6,5,4,3,4,3,4,11,10,9,8,7,6,5,6,5,6,5,11,10,9,8,7,8,7,8,7,11,10,9,10,9,10,9
"8",2,3,4,5,6,7,8,0,1,2,3,4,5,6,7,8,2,1,2,3,4,5,6,7,8,9,10,3,4,3,4,5,6,7,8,9,10,11,5,6,5,6,7,8,9,10,11,7,8,7,8,9,10,11
"9",1,2,3,4,5,6,7,1,0,1,2,3,4,5,6,7,3,2,3,2,3,4,5,6,7,8,9,4,5,4,5,4,5,6,7,8,9,10,6,7,6,7,6,7,8,9,10,8,9,8,9,8,9,10
"10",2,3,2,3,4,5,6,2,1,0,1,2,3,4,5,6,4,3,2,1,2,3,4,5,6,7,8,5,4,3,4,3,4,5,6,7,8,9,5,6,5,6,5,6,7,8,9,7,8,7,8,7,8,9
"11",3,2,1,2,3,4,5,3,2,1,0,1,2,3,4,5,5,4,3,2,3,2,3,4,5,6,7,6,5,4,5,4,5,4,5,6,7,8,6,7,6,7,6,7,6,7,8,8,9,8,9,8,9,8
"12",4,3,2,3,2,3,4,4,3,2,1,0,1,2,3,4,6,5,4,3,2,1,2,3,4,5,6,7,6,5,4,3,4,3,4,5,6,7,7,6,5,6,5,6,5,6,7,7,8,7,8,7,8,7
"13",5,4,3,2,1,2,3,5,4,3,2,1,0,1,2,3,7,6,5,4,3,2,3,2,3,4,5,8,7,6,5,4,5,4,5,4,5,6,8,7,6,7,6,7,6,7,6,8,9,8,9,8,9,8
"14",6,5,4,3,2,3,2,6,5,4,3,2,1,0,1,2,8,7,6,5,4,3,2,1,2,3,4,9,8,7,6,5,4,3,4,3,4,5,9,8,7,6,5,6,5,6,5,9,8,7,8,7,8,7
"15",7,6,5,4,3,2,1,7,6,5,4,3,2,1,0,1,9,8,7,6,5,4,3,2,3,2,3,10,9,8,7,6,5,4,5,4,5,4,10,9,8,7,6,7,6,7,6,10,9,8,9,8,9,8
"16",8,7,6,5,4,3,2,8,7,6,5,4,3,2,1,0,10,9,8,7,6,5,4,3,2,1,2,11,10,9,8,7,6,5,4,3,4,3,11,10,9,8,7,6,5,6,5,11,10,9,8,7,8,7
"17",4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,11,3,4,5,6,7,8,9,10,11,5,6,7,8,9,10,11
"18",3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,0,1,2,3,4,5,6,7,8,9,2,3,2,3,4,5,6,7,8,9,10,4,5,4,5,6,7,8,9,10,6,7,6,7,8,9,10
"19",4,5,4,5,6,7,8,2,3,2,3,4,5,6,7,8,2,1,0,1,2,3,4,5,6,7,8,3,2,1,2,3,4,5,6,7,8,9,3,4,3,4,5,6,7,8,9,5,6,5,6,7,8,9
"20",3,4,3,4,5,6,7,3,2,1,2,3,4,5,6,7,3,2,1,0,1,2,3,4,5,6,7,4,3,2,3,2,3,4,5,6,7,8,4,5,4,5,4,5,6,7,8,6,7,6,7,6,7,8
"21",4,5,4,5,4,5,6,4,3,2,3,2,3,4,5,6,4,3,2,1,0,1,2,3,4,5,6,5,4,3,2,1,2,3,4,5,6,7,5,4,3,4,3,4,5,6,7,5,6,5,6,5,6,7
"22",5,4,3,4,3,4,5,5,4,3,2,1,2,3,4,5,5,4,3,2,1,0,1,2,3,4,5,6,5,4,3,2,3,2,3,4,5,6,6,5,4,5,4,5,4,5,6,6,7,6,7,6,7,6
"23",6,5,4,5,4,5,4,6,5,4,3,2,3,2,3,4,6,5,4,3,2,1,0,1,2,3,4,7,6,5,4,3,2,1,2,3,4,5,7,6,5,4,3,4,3,4,5,7,6,5,6,5,6,5
"24",7,6,5,4,3,4,3,7,6,5,4,3,2,1,2,3,7,6,5,4,3,2,1,0,1,2,3,8,7,6,5,4,3,2,3,2,3,4,8,7,6,5,4,5,4,5,4,8,7,6,7,6,7,6
"25",8,7,6,5,4,5,4,8,7,6,5,4,3,2,3,2,8,7,6,5,4,3,2,1,0,1,2,9,8,7,6,5,4,3,2,1,2,3,9,8,7,6,5,4,3,4,3,9,8,7,6,5,6,5
"26",9,8,7,6,5,4,3,9,8,7,6,5,4,3,2,1,9,8,7,6,5,4,3,2,1,0,1,10,9,8,7,6,5,4,3,2,3,2,10,9,8,7,6,5,4,5,4,10,9,8,7,6,7,6
"27",10,9,8,7,6,5,4,10,9,8,7,6,5,4,3,2,10,9,8,7,6,5,4,3,2,1,0,11,10,9,8,7,6,5,4,3,2,1,11,10,9,8,7,6,5,4,3,11,10,9,8,7,6,5
"28",5,6,7,8,9,10,11,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,0,1,2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10
"29",6,7,6,7,8,9,10,4,5,4,5,6,7,8,9,10,2,3,2,3,4,5,6,7,8,9,10,1,0,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,3,4,5,6,7,8,9
"30",5,6,5,6,7,8,9,3,4,3,4,5,6,7,8,9,3,2,1,2,3,4,5,6,7,8,9,2,1,0,1,2,3,4,5,6,7,8,2,3,2,3,4,5,6,7,8,4,5,4,5,6,7,8
"31",6,7,6,7,6,7,8,4,5,4,5,4,5,6,7,8,4,3,2,3,2,3,4,5,6,7,8,3,2,1,0,1,2,3,4,5,6,7,3,2,1,2,3,4,5,6,7,3,4,3,4,5,6,7
"32",5,6,5,6,5,6,7,5,4,3,4,3,4,5,6,7,5,4,3,2,1,2,3,4,5,6,7,4,3,2,1,0,1,2,3,4,5,6,4,3,2,3,2,3,4,5,6,4,5,4,5,4,5,6
"33",6,7,6,7,6,7,6,6,5,4,5,4,5,4,5,6,6,5,4,3,2,3,2,3,4,5,6,5,4,3,2,1,0,1,2,3,4,5,5,4,3,2,1,2,3,4,5,5,4,3,4,3,4,5
"34",7,6,5,6,5,6,5,7,6,5,4,3,4,3,4,5,7,6,5,4,3,2,1,2,3,4,5,6,5,4,3,2,1,0,1,2,3,4,6,5,4,3,2,3,2,3,4,6,5,4,5,4,5,4
"35",8,7,6,7,6,7,6,8,7,6,5,4,5,4,5,4,8,7,6,5,4,3,2,3,2,3,4,7,6,5,4,3,2,1,0,1,2,3,7,6,5,4,3,2,1,2,3,7,6,5,4,3,4,3
"36",9,8,7,6,5,6,5,9,8,7,6,5,4,3,4,3,9,8,7,6,5,4,3,2,1,2,3,8,7,6,5,4,3,2,1,0,1,2,8,7,6,5,4,3,2,3,2,8,7,6,5,4,5,4
"37",10,9,8,7,6,7,6,10,9,8,7,6,5,4,5,4,10,9,8,7,6,5,4,3,2,3,2,9,8,7,6,5,4,3,2,1,0,1,9,8,7,6,5,4,3,2,1,9,8,7,6,5,4,3
"38",11,10,9,8,7,6,5,11,10,9,8,7,6,5,4,3,11,10,9,8,7,6,5,4,3,2,1,10,9,8,7,6,5,4,3,2,1,0,10,9,8,7,6,5,4,3,2,10,9,8,7,6,5,4
"39",7,8,7,8,9,10,11,5,6,5,6,7,8,9,10,11,3,4,3,4,5,6,7,8,9,10,11,2,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,2,3,4,5,6,7,8
"40",8,9,8,9,8,9,10,6,7,6,7,6,7,8,9,10,4,5,4,5,4,5,6,7,8,9,10,3,2,3,2,3,4,5,6,7,8,9,1,0,1,2,3,4,5,6,7,1,2,3,4,5,6,7
"41",7,8,7,8,7,8,9,5,6,5,6,5,6,7,8,9,5,4,3,4,3,4,5,6,7,8,9,4,3,2,1,2,3,4,5,6,7,8,2,1,0,1,2,3,4,5,6,2,3,2,3,4,5,6
"42",8,9,8,9,8,9,8,6,7,6,7,6,7,6,7,8,6,5,4,5,4,5,4,5,6,7,8,5,4,3,2,3,2,3,4,5,6,7,3,2,1,0,1,2,3,4,5,3,2,1,2,3,4,5
"43",7,8,7,8,7,8,7,7,6,5,6,5,6,5,6,7,7,6,5,4,3,4,3,4,5,6,7,6,5,4,3,2,1,2,3,4,5,6,4,3,2,1,0,1,2,3,4,4,3,2,3,2,3,4
"44",8,9,8,9,8,9,8,8,7,6,7,6,7,6,7,6,8,7,6,5,4,5,4,5,4,5,6,7,6,5,4,3,2,3,2,3,4,5,5,4,3,2,1,0,1,2,3,5,4,3,2,1,2,3
"45",9,8,7,8,7,8,7,9,8,7,6,5,6,5,6,5,9,8,7,6,5,4,3,4,3,4,5,8,7,6,5,4,3,2,1,2,3,4,6,5,4,3,2,1,0,1,2,6,5,4,3,2,3,2
"46",10,9,8,9,8,9,8,10,9,8,7,6,7,6,7,6,10,9,8,7,6,5,4,5,4,5,4,9,8,7,6,5,4,3,2,3,2,3,7,6,5,4,3,2,1,0,1,7,6,5,4,3,2,1
"47",11,10,9,8,7,8,7,11,10,9,8,7,6,5,6,5,11,10,9,8,7,6,5,4,3,4,3,10,9,8,7,6,5,4,3,2,1,2,8,7,6,5,4,3,2,1,0,8,7,6,5,4,3,2
"48",9,10,9,10,9,10,11,7,8,7,8,7,8,9,10,11,5,6,5,6,5,6,7,8,9,10,11,4,3,4,3,4,5,6,7,8,9,10,2,1,2,3,4,5,6,7,8,0,1,2,3,4,5,6
"49",10,11,10,11,10,11,10,8,9,8,9,8,9,8,9,10,6,7,6,7,6,7,6,7,8,9,10,5,4,5,4,5,4,5,6,7,8,9,3,2,3,2,3,4,5,6,7,1,0,1,2,3,4,5
"50",9,10,9,10,9,10,9,7,8,7,8,7,8,7,8,9,7,6,5,6,5,6,5,6,7,8,9,6,5,4,3,4,3,4,5,6,7,8,4,3,2,1,2,3,4,5,6,2,1,0,1,2,3,4
"51",10,11,10,11,10,11,10,8,9,8,9,8,9,8,9,8,8,7,6,7,6,7,6,7,6,7,8,7,6,5,4,5,4,5,4,5,6,7,5,4,3,2,3,2,3,4,5,3,2,1,0,1,2,3
"52",9,10,9,10,9,10,9,9,8,7,8,7,8,7,8,7,9,8,7,6,5,6,5,6,5,6,7,8,7,6,5,4,3,4,3,4,5,6,6,5,4,3,2,1,2,3,4,4,3,2,1,0,1,2
"53",10,11,10,11,10,11,10,10,9,8,9,8,9,8,9,8,10,9,8,7,6,7,6,7,6,7,6,9,8,7,6,5,4,5,4,5,4,5,7,6,5,4,3,2,3,2,3,5,4,3,2,1,0,1
"54",11,10,9,10,9,10,9,11,10,9,8,7,8,7,8,7,11,10,9,8,7,6,5,6,5,6,5,10,9,8,7,6,5,4,3,4,3,4,8,7,6,5,4,3,2,1,2,6,5,4,3,2,1,0
